Identifier 1,mass_Inc,mass_Cont,15N_Inc,15N_Cont,shift,Site,Treatment,Type_Inc,Type_Cont,Year,N_Kfactor_Inc,Area28_Inc,C_Kfactor_Inc,Area44_Inc,%N_Inc,%C_Inc,C:N_Inc,Total_N_Inc,Total_C_Inc,N_Kfactor_Cont,Area28_Cont,C_Kfactor_Cont,Area44_Cont,%N_Cont,%C_Cont,C:N_Cont,Total_N_Cont,Total_C_Cont,FireType,shift_N,shift_C,shift_CN
BP50,38.23,36.9,9.301,6.476,2.825,PGE,Control,cyano,cyano,2018,0.14031741,60.454,0.598388165,86.328,0.221887228,1.351233417,6.089730491,0.084827487,2.328103967,0.141142911,163.345,0.807313189,84.022,0.624796443,1.838267445,2.942186155,0.230549888,0.498605131,none,0.145722401,-1.829498836,-3.147544336
BP51,40.37,43.1,6.573,6.135,0.438,PGE,Control,cyano,cyano,2018,0.14031741,64.152,0.598388165,86.408,0.222978511,1.2807908,5.744010003,0.090016425,2.318856838,0.141142911,49.005,0.807313189,83.015,0.160480472,1.554967618,9.689450681,0.069167083,0.552020835,none,-0.020849342,-1.766836003,3.945440678
BP52,39.93,NA,8.836,NA,NA,PGE,Control,moss,cyano,2018,0.14031741,63.409,0.598388165,86.28,0.22282461,1.292985998,5.802707337,0.088973867,2.31702104,0.141142911,NA,0.807313189,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,none,NA,NA,NA
BP53,39.17,41,6.569,4.293,2.276,PGE,Control,cyano,cyano,2018,0.14031741,59.899,0.598388165,86.319,0.214574229,1.318669084,6.145514721,0.084048726,2.407198116,0.141142911,98.245,0.807313189,84.521,0.338209397,1.664266293,4.920816242,0.138665853,0.540654325,none,0.054617127,-1.866543791,-1.224698479
BP54,35.47,39.1,6.295,7.037,-0.742,PGE,Control,cyano,moss,2018,0.14031741,89.192,0.598388165,86.193,0.35283875,1.454098425,4.121141528,0.125151905,1.4617689,0.141142911,105.217,0.807313189,84.394,0.379811602,1.742516349,4.587843918,0.148506336,0.568552484,none,0.023354431,-0.893216416,0.46670239
BP55,37.3,40.5,6.492,2.909,3.583,PGE,Burn,moss,moss,2018,0.14031741,85.722,0.598388165,86.189,0.322474237,1.382693769,4.287765067,0.12028289,1.59933637,0.141142911,98.593,0.807313189,84.226,0.343597605,1.678932361,4.886333132,0.13915703,0.559990976,rx,0.01887414,-1.039345394,0.598568065
BP56,39.19,41,7.866,10.08,-2.214,PGE,Burn,moss,cyano,2018,0.14031741,94.414,0.598388165,86.068,0.338043582,1.314163629,3.88755681,0.13247928,1.523533514,0.141142911,45.682,0.807313189,82.955,0.157260743,1.633430867,10.38676811,0.064476904,0.538807088,rx,-0.068002376,-0.984726426,6.4992113
BP57,35.95,41.9,6.173,7.354,-1.181,PGE,Burn,lichen,cyano,2018,0.14031741,81.142,0.598388165,85.95,0.316707519,1.432602854,4.523425459,0.113856353,1.626171453,0.141142911,84.98,0.807313189,83.402,0.286260729,1.606957865,5.613616193,0.119943246,0.600260596,rx,0.006086893,-1.025910857,1.090190734
BP58,42.99,38.7,6.053,8.831,-2.778,PGE,Burn,cyano,moss,2018,0.14031741,102.328,0.598388165,85.997,0.333993951,1.196358753,3.581977306,0.143584,1.539892044,0.141142911,78.422,0.807313189,83.613,0.286013161,1.744234564,6.098441608,0.110687093,0.462990838,rx,-0.032896907,-1.076901206,2.516464302
BP59,38.8,40.9,8.388,3.252,5.136,PGE,Burn,mixed,cyano,2018,0.14031741,99.904,0.598388165,86.007,0.361295633,1.326278017,3.670894126,0.140182706,1.424306921,0.141142911,48.155,0.807313189,82.792,0.166179386,1.634207176,9.833994579,0.067967369,0.542447709,rx,-0.072215337,-0.881859212,6.163100453
BP60,41.22,37,8.3,0.302,7.998,PGE,Burn,moss,cyano,2018,0.14031741,61.388,0.598388165,86.159,0.208971499,1.248558247,5.974777679,0.086138052,2.462803359,0.141142911,32.921,0.807313189,82.805,0.125582859,1.806745097,14.38687667,0.046465658,0.461966551,none,-0.039672394,-2.000836808,8.412098991
BP61,40.19,34.8,6.697,7.779,-1.082,PGW,Burn,cyano,cyano,2018,0.14031741,105.037,0.598388165,87.083,0.36672107,1.282819754,3.498080306,0.147385198,1.405878475,0.129251363,135.286,0.573939424,86.348,0.502468388,1.424095442,2.834199078,0.174858999,0.446421275,none,0.027473801,-0.9594572,-0.663881228
BP62,36.61,32.8,2.37,8.502,-6.132,PGW,Burn,mixed,cyano,2018,0.14031741,124.626,0.598388165,86.801,0.477661775,1.4233662,2.979862061,0.174871976,1.0909275,0.129251363,61.277,0.573939424,86.215,0.241467554,1.508603276,6.247643834,0.079201358,0.466864114,none,-0.095670618,-0.624063386,3.267781773
BP63,39.22,33.1,9.321,8.263,1.058,PGW,Burn,cyano,cyano,2018,0.14031741,130.034,0.598388165,85.921,0.465222696,1.324341946,2.846683875,0.182460341,1.116469416,0.129251363,86.508,0.573939424,85.461,0.337802928,1.481856106,4.38674737,0.111812769,0.438357184,none,-0.070647572,-0.678112232,1.540063495
BP64,42.18,36.2,7.596,8.044,-0.448,PGW,Burn,moss,cyano,2018,0.14031741,99.657,0.598388165,86.001,0.331522337,1.218921516,3.676740242,0.139836122,1.550849034,0.129251363,114.797,0.573939424,86.798,0.409880352,1.376154534,3.357454263,0.148376687,0.441249589,none,0.008540565,-1.109599445,-0.319285979
BP65,39.23,35.8,10.327,7.294,3.033,PGW,Burn,moss,lichen,2018,0.14031741,62.67,0.598388165,86.022,0.224157331,1.311801698,5.852147199,0.087936921,2.295797346,0.129251363,96.673,0.573939424,86.955,0.349025615,1.394047559,3.994112462,0.12495117,0.469625008,none,0.037014249,-1.826172338,-1.858034737
BP66,34.62,34.7,6.849,9.789,-2.94,PGW,Burn,lichen,cyano,2018,0.14031741,85.175,0.598388165,85.843,0.345220549,1.486844216,4.306940066,0.119515354,1.491062651,0.129251363,75.446,0.573939424,87.053,0.281023007,1.439860192,5.123638126,0.097514983,0.515934943,none,-0.022000371,-0.975127708,0.81669806
BP67,37.26,39.2,8.341,7.01,1.331,PGW,Control,cyano,moss,2018,0.14031741,95.442,0.598388165,85.924,0.359424967,1.378621451,3.835630737,0.133921743,1.429156013,0.129251363,125.275,0.573939424,88.784,0.413060319,1.29991423,3.147032455,0.161919645,0.540419609,rx,0.027997902,-0.888736404,-0.688598282
BP68,37.57,43.3,7.511,5.797,1.714,PGW,Control,moss,cyano,2018,0.14031741,80.325,0.598388165,85.977,0.299999893,1.368536191,4.561788932,0.11270996,1.713864102,0.129251363,117.157,0.573939424,88.194,0.34971598,1.169007242,3.342733268,0.151427019,0.592576171,rx,0.038717059,-1.121287931,-1.219055664
BP69,37.63,35.3,10.044,10.137,-0.093,PGW,Control,moss,moss,2018,0.14031741,79.492,0.598388165,85.964,0.296415402,1.367196898,4.612435417,0.111541116,1.735659447,0.129251363,89.324,0.573939424,88.13,0.327060871,1.432897491,4.381133963,0.115452488,0.482620505,rx,0.003911372,-1.253038942,-0.231301454
BP70,37.83,36.2,10.412,4.891,5.521,PGW,Control,moss,lichen,2018,0.14031741,102.049,0.598388165,85.893,0.378515765,1.359763157,3.59235541,0.143192514,1.358988052,0.129251363,94.896,0.573939424,87.842,0.338824236,1.39270682,4.110410859,0.122654374,0.492234263,rx,-0.02053814,-0.866753789,0.518055449
BP71,38.29,38.9,7.815,7.902,-0.087,PGW,Control,moss,moss,2018,0.14031741,104.628,0.598388165,85.864,0.383419431,1.34231796,3.500912714,0.1468113,1.340499478,0.129251363,137.879,0.573939424,88.036,0.458124645,1.298903114,2.835261382,0.178210487,0.522161686,rx,0.031399187,-0.818337792,-0.665651332
BP72,38.19,41.3,5.572,4.992,0.58,PGW,Control,cyano,cyano,2018,0.14031741,87.55,0.598388165,85.878,0.32167555,1.345378408,4.182408041,0.122847893,1.597261631,0.129251363,97.807,0.573939424,88.403,0.306094142,1.228522201,4.013543652,0.126416881,0.555641283,rx,0.003568988,-1.041620348,-0.168864389
