Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,2017_precip,2018_precip,2019_precip,2020_precip
rc10,d,rcb10d2018,rc,2018,2017/2012,rx/wild,11,0,0,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
pge01,a,pgec01a2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge01,b,pgec01b2018,pge,2018,none,none,2,0,1,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pge01,c,pgec01c2018,pge,2018,none,none,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pge01,d,pgec01d2018,pge,2018,none,none,1,0,0,NA,1,5.541666667,1.863333333,5.976666667,3.336666667
pge02,a,pgec02a2018,pge,2018,none,none,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pge02,b,pgec02b2018,pge,2018,none,none,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pge02,c,pgec02c2018,pge,2018,none,none,7,0,0,NA,7,5.541666667,1.863333333,5.976666667,3.336666667
pge02,d,pgec02d2018,pge,2018,none,none,20,0,0,NA,20,5.541666667,1.863333333,5.976666667,3.336666667
pge03,a,pgec03a2018,pge,2018,none,none,3,0,0,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pge03,b,pgec03b2018,pge,2018,none,none,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pge03,c,pgec03c2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge03,d,pgec03d2018,pge,2018,none,none,20,0,0,NA,20,5.541666667,1.863333333,5.976666667,3.336666667
pge04,a,pgec04a2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge04,b,pgec04b2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge04,c,pgec04c2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge04,d,pgec04d2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
pge05,a,pgec05a2018,pge,2018,none,none,0,0,0,NA,0,5.541666667,1.863333333,5.976666667,3.336666667
