Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,treatment
pgw02,c,pgw022019,pgw,2019,none,none,0,0,5,NA,5,control
pgw02,d,pgw022019,pgw,2019,none,none,1,0,1,NA,2,control
pgw02,a,pgw022020,pgw,2020,2017,rx,0,20,0,0,20,burn
pgw02,b,pgw022020,pgw,2020,2017,rx,0,38,0,0,38,burn
pgw02,c,pgw022020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw02,d,pgw022020,pgw,2020,2017,rx,0,7,0,1,8,burn
pgw02,a,pgw022020,pgw,2020,2017,none,0,0,0,0,0,control
pgw02,b,pgw022020,pgw,2020,2017,none,0,0,0,0,0,control
pgw02,c,pgw022020,pgw,2020,2017,none,0,0,0,0,0,control
pgw02,d,pgw022020,pgw,2020,2017,none,0,0,0,0,0,control
pgw03,a,pgw032018,pgw,2018,2017,rx,3,0,0,NA,3,burn
pgw03,b,pgw032018,pgw,2018,2017,rx,2,0,0,NA,2,burn
pgw03,c,pgw032018,pgw,2018,2017,rx,5,0,0,NA,5,burn
pgw03,d,pgw032018,pgw,2018,2017,rx,2,0,0,NA,2,burn
pgw03,a,pgw032018,pgw,2018,none,none,5,0,0,NA,1,control
pgw03,b,pgw032018,pgw,2018,none,none,0,1,0,NA,6,control
pgw03,c,pgw032018,pgw,2018,none,none,5,0,0,NA,0,control
pgw03,d,pgw032018,pgw,2018,none,none,8,2,1,NA,8,control
pgw03,a,pgw032019,pgw,2019,2017,rx,0,0,1,NA,1,burn
pgw03,b,pgw032019,pgw,2019,2017,rx,0,0,1,NA,1,burn
pgw03,c,pgw032019,pgw,2019,2017,rx,0,0,0,NA,0,burn
pgw03,d,pgw032019,pgw,2019,2017,rx,NA,NA,NA,NA,0,burn
pgw03,a,pgw032019,pgw,2019,none,none,0,0,0,NA,0,control
pgw03,b,pgw032019,pgw,2019,none,none,0,0,0,NA,0,control
pgw03,c,pgw032019,pgw,2019,none,none,0,0,0,NA,0,control
pgw03,d,pgw032019,pgw,2019,none,none,0,0,0,NA,0,control
pgw03,a,pgw032020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw03,b,pgw032020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw03,c,pgw032020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw03,d,pgw032020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw03,a,pgw032020,pgw,2020,2017,none,0,0,0,1,1,control
pgw03,b,pgw032020,pgw,2020,2017,none,0,0,0,1,1,control
pgw03,c,pgw032020,pgw,2020,2017,none,0,6,6,6,18,control
pgw03,d,pgw032020,pgw,2020,2017,none,0,0,0,27,27,control
pgw04,a,pgw042018,pgw,2018,2017,rx,5,0,0,NA,5,burn
pgw04,b,pgw042018,pgw,2018,2017,rx,8,0,0,NA,8,burn
pgw04,c,pgw042018,pgw,2018,2017,rx,6,0,0,NA,6,burn
pgw04,d,pgw042018,pgw,2018,2017,rx,2,0,0,NA,2,burn
pgw04,a,pgw042018,pgw,2018,none,none,4,1,0,NA,9,control
pgw04,b,pgw042018,pgw,2018,none,none,7,1,1,NA,6,control
pgw04,c,pgw042018,pgw,2018,none,none,0,2,1,NA,10,control
pgw04,d,pgw042018,pgw,2018,none,none,8,0,0,NA,0,control
pgw04,a,pgw042019,pgw,2019,2017,rx,1,1,1,NA,3,burn
pgw04,b,pgw042019,pgw,2019,2017,rx,37,3,1,NA,41,burn
pgw04,c,pgw042019,pgw,2019,2017,rx,1,0,29,NA,30,burn
pgw04,d,pgw042019,pgw,2019,2017,rx,0,0,10,NA,10,burn
pgw04,a,pgw042019,pgw,2019,none,none,5,0,0,NA,5,control
pgw04,b,pgw042019,pgw,2019,none,none,6,10,2,NA,18,control
pgw04,c,pgw042019,pgw,2019,none,none,0,0,0,NA,0,control
pgw04,d,pgw042019,pgw,2019,none,none,2,2,0,NA,4,control
pgw04,a,pgw042020,pgw,2020,2017,rx,0,1,0,6,7,burn
pgw04,b,pgw042020,pgw,2020,2017,rx,0,19,0,0,19,burn
pgw04,c,pgw042020,pgw,2020,2017,rx,0,0,0,10,10,burn
pgw04,d,pgw042020,pgw,2020,2017,rx,0,0,8,0,8,burn
pgw04,a,pgw042020,pgw,2020,2017,none,0,0,0,2,2,control
pgw04,b,pgw042020,pgw,2020,2017,none,0,0,0,3,3,control
pgw04,c,pgw042020,pgw,2020,2017,none,0,0,0,1,1,control
pgw04,d,pgw042020,pgw,2020,2017,none,0,0,0,19,19,control
pgw05,a,pgw052018,pgw,2018,2017,rx,8,0,0,NA,8,burn
pgw05,b,pgw052018,pgw,2018,2017,rx,4,0,0,NA,4,burn
pgw05,c,pgw052018,pgw,2018,2017,rx,5,1,0,NA,6,burn
pgw05,d,pgw052018,pgw,2018,2017,rx,4,0,0,NA,4,burn
pgw05,a,pgw052018,pgw,2018,none,none,6,2,0,NA,10,control
pgw05,b,pgw052018,pgw,2018,none,none,9,0,0,NA,6,control
pgw05,c,pgw052018,pgw,2018,none,none,2,1,0,NA,10,control
pgw05,d,pgw052018,pgw,2018,none,none,9,0,0,NA,2,control
pgw05,a,pgw052019,pgw,2019,2017,rx,0,0,0,NA,0,burn
pgw05,b,pgw052019,pgw,2019,2017,rx,10,0,0,NA,10,burn
pgw05,c,pgw052019,pgw,2019,2017,rx,1,1,1,NA,3,burn
pgw05,d,pgw052019,pgw,2019,2017,rx,0,0,0,NA,0,burn
pgw05,a,pgw052019,pgw,2019,none,none,1,0,0,NA,1,control
pgw05,b,pgw052019,pgw,2019,none,none,2,0,1,NA,3,control
pgw05,c,pgw052019,pgw,2019,none,none,1,6,0,NA,7,control
pgw05,d,pgw052019,pgw,2019,none,none,4,1,0,NA,5,control
pgw05,a,pgw052020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw05,b,pgw052020,pgw,2020,2017,rx,0,1,0,0,1,burn
pgw05,c,pgw052020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw05,d,pgw052020,pgw,2020,2017,rx,0,0,0,0,0,burn
pgw05,a,pgw052020,pgw,2020,2017,none,1,0,1,0,2,control
