"","Site","Treatment","Quad","ID","ng.cov","nng.cov","nnf.cov","nf.cov","BRODIA","EROBOT","FESMYU","SANARG","STIPUL","ACARAR","AVEBAR","AVEFAT","BROMAD","CENMEL","UNKNOWN","BROHOR","LASGRA","SPEMAC","LEPNIT","SALTRA","ACHMIL","EROCIC","SONOLE","DAUPUS","LUPBIC","MAFOFO","GILNEV","CALMEN","AVESPP","EROMOS","GALAPA","CRYINT","BROKIN","PTEDRY","CRACON","CALCIL","FESSPP","JEPMAL","HYPGLA","PELAND","AMBPUS","DICCAP","ALLPRA","CALMAC","OPULIT","AMSINT","AMSMEN","VIOPED"
"50","PGE","control","B","PGE02",0.577882960413081,1.17200400300225,1.49507389162562,0,0,0.142857142857143,0,0,0.428571428571429,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","PGE","control","B","PGE03",0.44946452476573,0.911558669001751,1.93805874840358,0,0.222222222222222,0.111111111111111,0,0,0.555555555555556,0,0,0,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0,0,0,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","PGE","control","B","PGE04",0.809036144578313,1.0938704028021,1.39540229885057,0,2.4,0,0,0,0.6,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","PGE","control","B","PGE05",0,0.455779334500876,1.74425287356322,0.319873997709049,1.66666666666667,0.166666666666667,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.0833333333333333,0,0,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","PGE","control","B","PGE06",0,1.36733800350263,0.436063218390805,0.719716494845361,0.125,0.5,0.125,0,0,0,0,0,0.375,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","PGE","control","B","PGE07",0,1.17200400300225,1.49507389162562,0.274177712322042,0,0.142857142857143,0.142857142857143,0,0,0,0,0.285714285714286,0.285714285714286,0.142857142857143,0,0.285714285714286,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","PGE","control","B","PGE08",0,1.8231173380035,1.16283524904215,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","PGE","control","B","PGE09",0,1.17200400300225,1.49507389162562,0.274177712322042,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0.714285714285714,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","PGE","control","B","PGE10",0.337098393574297,0.683669001751314,0.872126436781609,0.799684994272623,0.0833333333333333,0.0833333333333333,0,0,0.833333333333333,0,0,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","PGE","control","C","PGE01",0.674196787148594,0.911558669001751,0.581417624521073,0.639747995418099,0.0833333333333333,0.333333333333333,0,0,0.0833333333333333,1,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","PGE","control","C","PGE02",0.735487404162103,1.24303454863875,1.26854754440961,0,0.181818181818182,1,0,0,0.909090909090909,0,0,0.0454545454545455,0.227272727272727,0,0,0.0909090909090909,0,0,0,0.0454545454545455,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","PGE","control","C","PGE03",0.577882960413081,1.17200400300225,1.49507389162562,0,0.0714285714285714,0.142857142857143,0,0,0.0714285714285714,0,0,0,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0,0.0714285714285714,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
