domain,phylum,class,order,family,genus,OTU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,50,0.000120124,0.000160354,0.00013003,0.000167134,0.000133039,0.000233145,0.000125135,0.000155855,0.000191867,0.00012937,0.000165977,0.000169848,0.000295384,6.86775E-05,0.000203741,0.000194054,0.000159178,0.000161495,0.000126952,0.000345833,0.000179663,0.000127096,0.000208142,0.000148456,0.004100549
Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,51,0.000164113,0.000139578,0.00015831,0.000132344,0.000223895,0.000143521,0.000157354,0.000220739,0.000191867,9.49157E-05,0.000214063,0.000127249,0.000187398,3.44572E-05,0.000269858,0.00021808,0.00015641,0.000145345,0.000141699,0.000394294,0.000203942,0.00017592,0.000246823,0.000131945,0.004274121
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,52,1.09408E-05,5.16757E-06,1.1312E-05,0,0,2.38997E-05,0,1.29768E-05,0,1.72493E-05,1.50465E-05,1.0595E-05,1.43981E-05,0,0,1.07561E-05,1.34263E-05,1.61495E-05,2.66066E-05,2.13668E-05,1.25603E-05,3.42277E-05,2.13667E-05,1.07665E-05,0.000288812
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,53,7.66987E-05,2.58378E-05,1.6968E-05,1.39158E-05,1.39889E-05,4.18861E-05,1.61304E-05,2.59536E-05,9.59335E-06,2.15617E-05,2.71457E-05,3.1785E-05,7.19905E-06,3.44572E-05,3.29164E-05,2.14384E-05,2.14545E-05,2.58059E-05,3.23841E-05,5.55095E-05,4.40256E-05,1.46474E-05,6.79684E-05,8.07489E-06,0.000687346
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,54,4.37634E-05,5.16757E-05,7.93006E-05,6.27648E-05,5.58836E-05,7.17607E-05,8.87585E-05,6.48839E-05,7.66479E-05,4.31233E-05,4.82418E-05,7.42743E-05,6.49399E-05,5.74286E-05,6.04413E-05,6.81962E-05,4.56773E-05,5.81049E-05,5.30612E-05,0.000124015,7.54263E-05,6.34219E-05,7.14681E-05,4.31493E-05,0.001546409
Archaea,Euryarchaeota,unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),Aciduliprofundum,55,4.37634E-05,4.12873E-05,4.51897E-05,6.95792E-06,3.49723E-05,4.18861E-05,2.41124E-05,0,0,2.57851E-05,2.40433E-05,2.119E-05,3.59953E-05,0,3.29164E-05,1.43415E-05,1.07411E-05,2.91357E-05,2.66066E-05,5.9915E-05,4.07885E-05,1.46474E-05,5.36011E-05,4.03744E-05,0.000668251
Archaea,Euryarchaeota,unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),unclassified (derived from Euryarchaeota),56,0.000218817,0.000269033,0.000294462,0.000201923,0.00015395,0.000257168,0.000239045,0.000181943,0.00015379,0.000202724,0.000231126,0.000222823,0.000295384,0.000172286,0.000247724,0.000212535,0.000171636,0.000203117,0.000188527,0.000508837,0.000223365,0.000219712,0.000292872,0.000277488,0.005640288
Archaea,Korarchaeota,unclassified (derived from Korarchaeota),unclassified (derived from Korarchaeota),unclassified (derived from Korarchaeota),Candidatus Korarchaeum,57,9.86932E-05,2.58378E-05,5.656E-06,2.78317E-05,2.79779E-05,7.17607E-05,2.41124E-05,0,4.79667E-05,1.72493E-05,6.62355E-05,3.1785E-05,7.19905E-06,2.29715E-05,3.29164E-05,3.58538E-05,2.42228E-05,1.61495E-05,4.13543E-05,7.2691E-05,1.87756E-05,2.91942E-05,7.14681E-05,4.03744E-05,0.000858277
Archaea,Nanoarchaeota,unclassified (derived from Nanoarchaeota),unclassified (derived from Nanoarchaeota),unclassified (derived from Nanoarchaeota),Nanoarchaeum,58,0,0,0,6.95792E-06,0,5.97493E-06,0,0,0,0,0,1.0595E-05,7.19905E-06,0,5.50498E-06,3.58538E-06,0,3.2299E-06,2.94954E-06,4.27335E-06,3.14006E-06,0,7.14681E-06,2.69163E-06,6.32486E-05
Archaea,Thaumarchaeota,unclassified (derived from Thaumarchaeota),Cenarchaeales,Cenarchaeaceae,Cenarchaeum,59,0.000186107,3.08988E-05,6.20994E-05,6.95792E-05,1.39889E-05,0.000233145,3.63764E-05,3.89303E-05,3.83734E-05,6.04615E-05,8.1282E-05,8.46509E-05,2.15972E-05,2.29715E-05,3.29164E-05,7.17076E-05,6.71317E-05,4.52852E-05,1.17981E-05,7.68763E-05,0.000100514,4.4043E-05,0.000139436,2.69163E-05,0.001597088
